PRT_ID,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_OVERALL,Total_Sales_Price
P09370,Adyar,1056,2007-01-01,83,1.0,1.0,3,Partial,1,1981-01-07,Others,NoSewr ,Paved,RH,3.19,9743177
P08160,Adyar,1136,2008-04-05,69,1.0,1.0,3,Normal Sale,1,1978-04-13,Others,All Pub,Paved,A,3.35,8660489
P02677,Adyar,730,2011-08-19,185,1.0,1.0,2,AdjLand,1,1972-08-28,House,ELO,Gravel,RL,4.18,9166824
P02696,Adyar,868,2011-08-15,15,1.0,1.0,3,Normal Sale,0,2001-08-17,Others,NoSeWa,Gravel,RL,2.11,9439900
P07194,Adyar,904,2009-01-24,52,1.0,1.0,3,AdjLand,0,1969-02-03,Commercial,ELO,No Access,RM,3.08,11972645
P07825,Adyar,1260,2008-07-21,89,2.0,2.0,4,Partial,0,1983-07-28,Others,NoSeWa,No Access,A,4.21,7213740
P05309,Adyar,668,2010-03-21,177,1.0,1.0,2,Ab Normal,1,2005-03-22,Commercial,NoSeWa,Gravel,I,3.8,10715485
P02813,Adyar,890,2011-07-20,116,1.0,1.0,3,Ab Normal,1,1981-07-27,House,NoSewr ,Paved,C,4.19,7482031
P07824,Adyar,1090,2008-07-21,171,1.0,1.0,3,Partial,1,1980-07-28,Others,NoSeWa,Gravel,RH,2.62,10304376
P07650,Adyar,692,2008-09-12,62,1.0,1.0,2,Normal Sale,1,1971-09-22,Commercial,All Pub,Paved,RH,4.61,10900422
P08050,Adyar,1025,2008-05-10,125,1.0,1.0,3,Partial,0,1983-05-17,Commercial,NoSeWa,Paved,I,2.6,11426944
P08607,Adyar,1182,2007-10-24,50,1.0,1.0,3,Normal Sale,1,1990-10-28,House,All Pub,No Access,RL,3.21,10281471
P01632,Adyar,735,2012-03-06,67,1.0,1.0,2,AdjLand,0,1998-03-10,Commercial,NoSeWa,No Access,RH,3.61,9895773
P04112,Adyar,721,2010-11-04,145,1.0,1.0,2,Partial,0,2000-11-06,Others,NoSeWa,Paved,RL,3.88,7940194
P04311,Adyar,656,2010-09-24,20,1.0,1.0,2,Ab Normal,0,2001-09-26,Commercial,All Pub,Paved,I,2.96,9151728
P04824,Adyar,931,2010-06-24,37,1.0,1.0,3,Family,1,1977-07-02,Others,ELO,Paved,RM,3.32,10323083
P06446,Adyar,929,2009-08-18,76,1.0,1.0,3,AdjLand,1,1994-08-22,Others,NoSeWa,Paved,RH,2.53,9897563
P01575,Adyar,1015,2012-03-15,76,1.0,1.0,3,Family,1,2004-03-17,Commercial,NoSewr ,No Access,C,2.97,11707278
P06908,Adyar,985,2009-04-21,159,1.0,1.0,3,Partial,1,2002-04-23,House,NoSeWa,Paved,C,2.67,7689444
P09285,Adyar,723,2007-01-31,49,1.0,1.0,2,Family,0,1979-02-07,Commercial,ELO,Gravel,RM,3.67,11441627
P08117,Adyar,1296,2008-04-21,25,2.0,2.0,4,Family,0,1988-04-26,House,All Pub,No Access,RM,4.33,10338673
P02470,Adyar,1170,2011-09-29,120,1.0,1.0,3,AdjLand,0,1975-10-08,House,NoSeWa,Gravel,RH,3.56,9490994
P09557,Adyar,901,2006-10-12,106,1.0,1.0,3,Partial,0,1969-10-21,Others,All Pub,Gravel,I,4.64,7994845
P08465,Adyar,847,2007-12-23,7,1.0,1.0,3,Partial,0,1968-01-02,Others,NoSeWa,Gravel,RH,2.55,7791992
